Index,Area,Keyword,Name,Rating,Reviews,Address,Phone,Maps Website,Actual Website,Contact Form URL,Maps URL,All Emails,Email Count,Timestamp
1,New York,real estate agency,Manhattan Realty Group,"4,9",,211 E 43rd St #804,+1 212-470-7070,http://www.mrgnyc.com/,,,https://www.google.com/maps/place/Manhattan+Realty+Group/data=!4m7!3m6!1s0x89c259038c990fa7:0x884dc2a7ca9270b4!8m2!3d40.7512499!4d-73.9731679!16s%2Fg%2F11bxb9__p9!19sChIJpw-ZjANZwokRtHCSyqfCTYg?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:41:03.850Z
2,New York,real estate agency,ELIKA Real Estate,"4,9",,"29 W 30th St 4th Fl, New York, NY 10001, Verenigde Staten",+1 212-279-1289,https://realnewyork.com,https://realnewyork.com/,https://realnewyork.com/Contact_Us,https://www.google.com/maps/place/ELIKA+Real+Estate/data=!4m7!3m6!1s0x89c25a11454c2621:0x15bb15338c314e5c!8m2!3d40.7234004!4d-74.0054379!16s%2Fg%2F1tkc30d5!19sChIJISZMRRFawokRXE4xjDMVuxU?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:41:26.450Z
3,New York,real estate agency,Most NYC Realty 뉴욕부동산,"5,0",,"268 W 44th St 4th fl, New York, NY 10036, Verenigde Staten",+1 917-553-1324,https://mostnyc.com,https://mostnyc.com,,https://www.google.com/maps/place/Most+NYC+Realty+%EB%89%B4%EC%9A%95%EB%B6%80%EB%8F%99%EC%82%B0/data=!4m7!3m6!1s0x4f1802cee37e5353:0x8a638db31f7d3d2e!8m2!3d40.7582876!4d-73.9886562!16s%2Fg%2F11txkbb1xm!19sChIJU1N-484CGE8RLj19H7ONY4o?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:41:46.416Z
4,New York,real estate agency,"REAL ESTATE Agents near Midtown Manhattan, Queens NY","5,0",,"575 5th Ave Floor 14, New York, NY 10017, Verenigde Staten",+1 212-444-8708,https://aarealestatenyc.com,https://aarealestatenyc.com/,,"https://www.google.com/maps/place/REAL+ESTATE+Agents+near+Midtown+Manhattan,+Queens+NY/data=!4m7!3m6!1s0x89c259f7b4422e27:0x177a3f28b75cd501!8m2!3d40.7563172!4d-73.9782738!16s%2Fg%2F11h9gcvwlh!19sChIJJy5CtPdZwokRAdVctyg_ehc?authuser=0&hl=nl&rclk=1",info@aarealestatenyc.com,1,2026-04-07T06:42:06.438Z
5,New York,real estate agency,Mayell Real Estate,"4,9",,"345 E 18th St Front A, New York, NY 10003, Verenigde Staten",+1 929-220-2068,https://mayellre.com,https://mayellre.com/,https://mayellre.com/contact-us,https://www.google.com/maps/place/Mayell+Real+Estate/data=!4m7!3m6!1s0x89c25becc10af6a7:0xa737dab7e965c818!8m2!3d40.7342551!4d-73.9812925!16s%2Fg%2F11n6sdp1d_!19sChIJp_YKwexbwokRGMhl6bfaN6c?authuser=0&hl=nl&rclk=1,info@mayellre.com,1,2026-04-07T06:42:28.615Z
6,New York,real estate agency,NYC Residential Real Estate Agent Gavin Hammon at Compass,"4,9",,"110 5th Ave, New York, NY 10011, Verenigde Staten",+1 917-595-0400,https://gavinhammonrealestate.com,https://www.compass.com/agents/gavin-hammon/,https://www.compass.com/contact/,https://www.google.com/maps/place/NYC+Residential+Real+Estate+Agent+Gavin+Hammon+at+Compass/data=!4m7!3m6!1s0x89c2598943adcc95:0xbed3228931eee7d0!8m2!3d40.7376711!4d-73.9929188!16s%2Fg%2F1td2htvr!19sChIJlcytQ4lZwokR0OfuMYki074?authuser=0&hl=nl&rclk=1,gavin.hammon@compass.com,1,2026-04-07T06:42:50.668Z
7,New York,real estate agency,Byson Real Estate Co.,"4,8",,"5-17 46th Rd 2nd Floor, Long Island City, NY 11101, Verenigde Staten",+1 844-495-1010,https://byson.io,https://byson.io,,https://www.google.com/maps/place/Byson+Real+Estate+Co./data=!4m7!3m6!1s0x89c259b7e014dacf:0x682ed482fe96f70c!8m2!3d40.7467215!4d-73.9546345!16s%2Fg%2F11gy8cv8c9!19sChIJz9oU4LdZwokRDPeW_oLULmg?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:43:08.747Z
8,New York,real estate agency,Keller Williams NYC,"4,3",,"360 Madison Ave 9th Floor, New York, NY 10017, Verenigde Staten",+1 212-301-1140,https://kwnyc.com,https://kwnyc.com/,https://kwnyc.com/contact,https://www.google.com/maps/place/Keller+Williams+NYC/data=!4m7!3m6!1s0x89c2591674f84161:0xd9a2a8070f9107b2!8m2!3d40.7550526!4d-73.9781808!16s%2Fg%2F11pyc4mrl2!19sChIJYUH4dBZZwokRsgeRDweootk?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:43:30.642Z
9,New York,real estate agency,Alpha Properties NYC,"4,8",,"80 8th Ave Suite 1216, New York, NY 10011, Verenigde Staten",+1 212-674-1645,https://alphanyc.com,https://alphanyc.com,https://alphanyc.com/?page=contact,https://www.google.com/maps/place/Alpha+Properties+NYC/data=!4m7!3m6!1s0x89c259a81be5004d:0x4654c76190032aa4!8m2!3d40.7398762!4d-74.0020451!16s%2Fg%2F1tx4q879!19sChIJTQDlG6hZwokRpCoDkGHHVEY?authuser=0&hl=nl&rclk=1,Leasing@AlphaNYC.com,1,2026-04-07T06:43:51.074Z
10,New York,real estate agency,Batra Real Estate,"4,9",,"79 Madison Ave, New York, NY 10016, Verenigde Staten",+1 646-202-1877,https://batrare.com,https://batrare.com/,https://batrare.com/contact,https://www.google.com/maps/place/Batra+Real+Estate/data=!4m7!3m6!1s0x89c259a9ca6b4651:0x3d8391f6cf627309!8m2!3d40.7441619!4d-73.9853125!16s%2Fg%2F11cnp3ycbk!19sChIJUUZryqlZwokRCXNiz_aRgz0?authuser=0&hl=nl&rclk=1,info@batrare.com,1,2026-04-07T06:44:11.534Z
