url,status,details,load_status,load_time_s,contact_page_status,form_status,fields_filled,filled_fields,failed_fields,validation_status,captcha_status,submit_status,success_status
https://thoughtmedia.com,Failed,"NoSuchWindowError: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=146.0.7680.1",Loaded,7.1,,,,,,,,,
https://www.sucuri.net/?utm_source=firewall_block,Failed,reCAPTCHA not solved at post-submit,Loaded,15.1,Opened,Found,5,"first_name,last_name,email,select:Sucuri Contact Us Form - Interested In*,message","full_name,phone,company,website,job_title,subject,budget,address",,Not solved at post-submit: reCAPTCHA v2,Clicked: 'Submit' (score=105),
https://digital-marketing-usa.com,Success,Verified thank-you / redirect,Loaded,1.9,Not found,Found,3,"full_name,phone,email","first_name,last_name,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Send' (score=105),Success detected
https://www.chatterbuzzmedia.com/#,Skipped,"Load error: timeout: Timed out receiving message from renderer: 18.597
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,https://thoughtmedia.com,Skipped,"Load error: timeout: Timed out receiving message from renderer: 15.140
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://www.sucuri.net/?utm_source=firewall_block,Failed,reCAPTCHA not solved at post-submit,Loaded,13.2,Opened,Found,5,"first_name,last_name,email,select:Sucuri Contact Us Form - Interested In*,message","full_name,phone,company,website,job_title,subject,budget,address",,Not solved at post-submit: reCAPTCHA v2,Clicked: 'Submit' (score=105),
https://www.chatterbuzzmedia.com/#,Skipped,"Load error: timeout: Timed out receiving message from renderer: 18.773
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://calendly.com/contact,Failed,Submitted but no confirmation detected,Loaded,3.9,Opened,Found,5,"first_name,last_name,email,select:*How do you plan on using Calendly?,message","full_name,phone,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=105),No confirmation
https://www.dial911fordesign.com/,Skipped,reCAPTCHA v2 rate-limited at pre-submit,Loaded,3.3,Opened,Found,8,"company,email,phone,full_name,address,job_title,website,message","first_name,last_name,subject,budget",,Rate-limited at pre-submit: reCAPTCHA v2,,
https://inbeat.agency/,Failed,,Loaded,2.9,Opened,Found,5,"first_name,last_name,email,company,message","full_name,phone,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://www.mainstreetroi.com/contact/,Failed,No contact form found after all strategies,Loaded,2.6,Opened,Not found,,,,,,,
https://dpdk.com/contact,Failed,,Loaded,2.0,Opened,Found,5,"first_name,last_name,email,phone,message","full_name,company,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://5borodigital.com/#contact,Failed,,Loaded,3.0,Opened,Found,5,"full_name,email,company,select:select,message","first_name,last_name,phone,website,job_title,subject,budget,address",,Image OCR failed at post-submit,Clicked: 'Get Audit' (score=50),
https://nogood.io/contact-us/,Failed,"NoSuchWindowError: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=146.0.7680.1",Loaded,4.5,,,,,,,,,
https://nogood.io/contact-us/,Failed,No contact form found after all strategies,Loaded,1.0,Opened,Not found,,,,,,,
https://startechseo.com/contact-us/,Failed,,Loaded,3.7,Opened,Found,6,"first_name,last_name,company,website,email,phone","full_name,job_title,subject,message,budget,address",,Image OCR failed at pre-submit,,
https://www.marketing1on1.com/contact-us/,Failed,,Loaded,2.5,Opened,Found,3,"full_name,email,message","first_name,last_name,phone,company,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://dd.nyc/contact/?linkcontact=top-contact-button,Failed,Submitted but no confirmation detected,Loaded,3.5,Opened,Found,3,"full_name,email,message","first_name,last_name,phone,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Send' (score=120),No confirmation
